model,horizon,bin,n,predicted,observed,gap
state_queue_flow,10_100ms,5,8090,0.010295332122419624,0.030284301606922127,0.019988969484502503
state_queue_flow,10_100ms,6,8090,0.015042383947811667,0.03498145859085291,0.01993907464304124
state_queue_flow,10_100ms,7,8090,0.022158022844015902,0.049443757725587144,0.027285734881571242
state_queue_flow,10_100ms,8,8090,0.03433519844306295,0.0677379480840544,0.03340274964099144
state_queue_flow,10_100ms,9,8090,0.11782962941043541,0.1504326328800989,0.03260300346966348
state_queue_flow,100_500ms,0,8091,2.7362967832866095e-06,0.0023482882214806576,0.002345551924697371
state_queue_flow,100_500ms,1,8090,0.00021304912361639868,0.022620519159456117,0.02240747003583972
state_queue_flow,100_500ms,2,8090,0.001225934338894259,0.009517923362175525,0.008291989023281265
state_queue_flow,100_500ms,3,8090,0.0037831726366106336,0.028924598269468478,0.025141425632857844
state_queue_flow,100_500ms,4,8090,0.008305126601222018,0.04412855377008652,0.035823427168864504
state_queue_flow,100_500ms,5,8090,0.012804774138580726,0.04536464771322621,0.03255987357464548
state_queue_flow,100_500ms,6,8090,0.01834305560258653,0.05772558714462299,0.039382531542036456
state_queue_flow,100_500ms,7,8090,0.02694682671885499,0.07639060568603213,0.049443778967177145
state_queue_flow,100_500ms,8,8090,0.04169272742175959,0.09122373300370828,0.049531005581948694
state_queue_flow,100_500ms,9,8090,0.1318962357731456,0.16637824474660073,0.03448200897345513
state_queue_flow,500_1000ms,0,8091,6.61815612785677e-06,0.00482017055988135,0.004813552403753493
state_queue_flow,500_1000ms,1,8090,0.0003472734257940057,0.047466007416563656,0.04711873399076965
state_queue_flow,500_1000ms,2,8090,0.0017603156632058426,0.014956736711990111,0.013196421048784268
state_queue_flow,500_1000ms,3,8090,0.005002209901852623,0.04103831891223733,0.03603610901038471
state_queue_flow,500_1000ms,4,8090,0.010511356358445306,0.06687268232385661,0.0563613259654113
state_queue_flow,500_1000ms,5,8090,0.016429768270647502,0.0622991347342398,0.0458693664635923
state_queue_flow,500_1000ms,6,8090,0.02275985022435545,0.07812113720642769,0.05536128698207224
state_queue_flow,500_1000ms,7,8090,0.032477381238871006,0.09950556242274412,0.06702818118387312
state_queue_flow,500_1000ms,8,8090,0.04978919974377571,0.11063040791100123,0.060841208167225526
state_queue_flow,500_1000ms,9,8090,0.14191419766188582,0.17713226205191596,0.03521806439003014
