horizon,feature,bin,n,feature_mean,markout_mean_bps,markout_median_bps,positive_fraction
1s,relative_spread,0,2795,4.698266855274528e-05,-0.020370520952630717,0.0,0.4336314847942755
1s,relative_spread,1,2760,5.652162090048388e-05,-0.18597829840841068,-0.24037305898733008,0.33659420289855074
1s,relative_spread,2,2753,8.489673106819511e-05,-0.1376304372788049,0.0,0.4355248819469669
1s,relative_spread,3,2813,0.00018963562345371648,-0.6653909941646483,-0.9606147934669458,0.23746889441877
1s,relative_spread,4,2684,0.000254540787487471,0.5882781688421704,-0.9637625289119992,0.470193740685544
1s,queue_ahead_initial,0,3483,78.25294286534597,-0.06590534872534062,-0.23924589693265,0.3996554694229113
1s,queue_ahead_initial,1,2400,165.07083333333333,-0.0008145835684385598,-0.2400384061461293,0.3625
1s,queue_ahead_initial,2,2465,305.8924949290061,-0.09791627647899585,-0.24032684450831301,0.37403651115618664
1s,queue_ahead_initial,3,2698,653.945885841364,-0.29256013792122865,-0.3566588201722985,0.34877687175685695
1s,queue_ahead_initial,4,2759,4627.068503080826,0.007341659621484941,-0.9589566551596773,0.41500543675244655
